iter	Passed	Remaining
0	5	5040
1	9	4934
2	14	4887
3	19	4837
4	24	4820
5	29	4935
6	35	5026
7	40	5037
8	45	5035
9	51	5053
10	56	5046
11	61	5080
12	67	5133
13	73	5172
14	78	5184
15	84	5204
16	90	5222
17	96	5250
18	102	5275
19	108	5304
20	114	5348
21	121	5413
22	127	5427
23	133	5446
24	139	5456
25	145	5467
26	151	5471
27	158	5492
28	164	5499
29	169	5494
30	175	5491
31	181	5497
32	187	5491
33	193	5490
34	198	5484
35	204	5483
36	210	5483
37	215	5465
38	221	5448
39	226	5444
40	232	5438
41	238	5430
42	243	5413
43	248	5396
44	253	5377
45	259	5373
46	264	5367
47	270	5361
48	276	5362
49	281	5353
50	287	5345
51	292	5334
52	298	5326
53	303	5318
54	308	5300
55	313	5286
56	318	5276
57	324	5277
58	330	5271
59	336	5274
60	342	5268
61	348	5267
62	354	5269
63	360	5266
64	365	5264
65	371	5262
66	377	5260
67	384	5263
68	389	5257
69	395	5253
70	401	5251
71	407	5255
72	413	5252
73	419	5247
74	425	5244
75	431	5243
76	437	5241
77	443	5238
78	448	5234
79	454	5229
80	460	5225
81	466	5225
82	472	5219
83	478	5217
84	484	5217
85	490	5207
86	495	5200
87	500	5189
88	506	5183
89	511	5176
90	517	5169
91	523	5166
92	529	5161
93	535	5161
94	541	5159
95	547	5154
96	552	5144
97	558	5138
98	563	5128
99	568	5119
100	573	5107
101	579	5099
102	584	5089
103	589	5081
104	594	5071
105	600	5065
106	606	5062
107	612	5059
108	618	5059
109	624	5056
110	631	5057
111	637	5052
112	643	5052
113	649	5047
114	655	5042
115	661	5037
116	666	5032
117	672	5027
118	678	5021
119	683	5013
120	689	5006
121	695	5004
122	700	4997
123	707	4995
124	713	4992
125	719	4990
126	725	4989
127	731	4985
128	737	4980
129	743	4973
130	749	4968
131	754	4964
132	760	4958
133	766	4952
134	771	4946
135	777	4938
136	782	4931
137	788	4922
138	794	4920
139	800	4915
140	806	4911
141	811	4905
142	817	4900
143	823	4894
144	829	4891
145	835	4885
146	840	4876
147	846	4871
148	852	4866
149	857	4860
150	864	4857
151	870	4854
152	876	4850
153	881	4841
154	887	4836
155	892	4830
156	898	4825
157	904	4819
158	910	4814
159	915	4804
160	920	4794
161	925	4787
162	930	4778
163	935	4769
164	941	4763
165	946	4757
166	953	4753
167	958	4749
168	964	4743
169	970	4738
170	976	4732
171	981	4726
172	987	4719
173	992	4711
174	997	4703
175	1003	4696
176	1008	4689
177	1014	4685
178	1020	4680
179	1026	4674
180	1031	4668
181	1037	4661
182	1042	4652
183	1047	4644
184	1053	4639
185	1058	4634
186	1064	4629
187	1070	4624
188	1076	4618
189	1081	4611
190	1087	4604
191	1092	4596
192	1097	4588
193	1103	4582
194	1108	4576
195	1114	4572
196	1120	4566
197	1125	4560
198	1131	4554
199	1137	4549
200	1143	4546
201	1149	4540
202	1155	4537
203	1161	4532
204	1167	4527
205	1172	4521
206	1178	4513
207	1183	4505
208	1188	4499
209	1195	4495
210	1201	4491
211	1207	4487
212	1212	4481
213	1218	4475
214	1224	4470
215	1230	4464
216	1236	4461
217	1242	4455
218	1247	4450
219	1253	4445
220	1259	4440
221	1265	4435
222	1271	4430
223	1277	4425
224	1283	4419
225	1288	4413
226	1294	4407
227	1299	4400
228	1305	4393
229	1310	4386
230	1315	4379
231	1320	4372
232	1326	4365
233	1331	4360
234	1337	4354
235	1343	4348
236	1349	4344
237	1355	4339
238	1360	4333
239	1366	4326
240	1372	4321
241	1377	4314
242	1382	4306
243	1388	4300
244	1393	4292
245	1399	4288
246	1405	4283
247	1410	4277
248	1416	4272
249	1422	4266
250	1428	4262
251	1434	4257
252	1440	4252
253	1445	4246
254	1451	4240
255	1456	4234
256	1462	4227
257	1467	4220
258	1472	4214
259	1478	4207
260	1483	4200
261	1489	4194
262	1494	4187
263	1500	4182
264	1506	4177
265	1512	4173
266	1518	4167
267	1524	4163
268	1530	4159
269	1536	4155
270	1542	4150
271	1547	4143
272	1553	4136
273	1558	4129
274	1564	4123
275	1570	4118
276	1575	4112
277	1581	4108
278	1588	4104
279	1594	4099
280	1600	4095
281	1606	4091
282	1612	4086
283	1618	4080
284	1624	4074
285	1630	4070
286	1635	4064
287	1641	4058
288	1647	4054
289	1653	4049
290	1659	4043
291	1664	4036
292	1670	4031
293	1676	4025
294	1682	4021
295	1688	4015
296	1694	4010
297	1700	4005
298	1706	4000
299	1711	3993
300	1716	3986
301	1722	3980
302	1727	3974
303	1733	3967
304	1738	3962
305	1744	3956
306	1750	3951
307	1756	3945
308	1761	3939
309	1767	3934
310	1773	3929
311	1779	3924
312	1785	3918
313	1790	3912
314	1796	3906
315	1802	3900
316	1807	3894
317	1813	3888
318	1818	3882
319	1824	3876
320	1830	3871
321	1836	3866
322	1842	3860
323	1847	3854
324	1853	3848
325	1858	3843
326	1864	3837
327	1870	3832
328	1875	3825
329	1881	3820
330	1887	3815
331	1893	3809
332	1898	3803
333	1904	3797
334	1910	3791
335	1916	3786
336	1922	3781
337	1928	3777
338	1934	3771
339	1940	3766
340	1945	3760
341	1951	3754
342	1956	3748
343	1961	3741
344	1967	3734
345	1972	3728
346	1977	3721
347	1982	3714
348	1988	3708
349	1993	3702
350	1998	3694
351	2003	3687
